model_name,split_idx,n_splits,random_state,fit_time,test_size,test_mse,train_mse
ebm-o50-i50,2,5,1377,59.37157487869264,0.15,0.3513911986535516,0.3348700823953149
ebm-bf-o50,2,5,1377,2.81784462928772,0.15,0.3497844531880064,0.3430521360983537
xgb-d1-o20-cv,3,5,1377,38.35660266876221,0.15,0.2926381327022825,0.2821709895213361
ebm-o50-i50,3,5,1377,50.8530023097992,0.15,0.3405048115971333,0.3364858485988498
ebm-bf-o50,3,5,1377,2.492652177810669,0.15,0.3366278066007813,0.346015604485518
xgb-d1-o20-cv,4,5,1377,34.26175928115845,0.15,0.3191523740809433,0.2776408965056711
ebm-o50-i50,4,5,1377,55.63456630706787,0.15,0.3761046836404141,0.3302151457333328
ebm-bf-o50,4,5,1377,2.6313700675964355,0.15,0.3750999078611297,0.3388885360936477
mlr-o20,0,5,1377,17.048807859420776,0.15,0.4792301885526468,0.4428250419739013
ilr-o20,0,5,1377,74.6805727481842,0.15,0.3575895107607601,0.3035682801490129
mlr-o20,1,5,1377,17.051257133483887,0.15,0.490976924108376,0.4395356296516811
ilr-o20,1,5,1377,76.11689305305481,0.15,0.3657144361843354,0.3042698882103625
mlr-o20,2,5,1377,16.976381778717037,0.15,0.4471813811507966,0.4435768695865714
ilr-o20,2,5,1377,71.2484860420227,0.15,0.3399833739632149,0.3046551878289761
mlr-o20,3,5,1377,16.872928380966187,0.15,0.4471066458092059,0.4558572419303452
ilr-o20,3,5,1377,71.45214080810547,0.15,0.3388200741077758,0.3156954050233119
mlr-o20,4,5,1377,17.21921420097351,0.15,0.4772305909223013,0.4392565459325636
ilr-o20,4,5,1377,72.62396216392517,0.15,0.3574419292043344,0.298164807232939
spline-v2,0,5,1377,33.63694000244141,0.15,0.3368691065768928,0.3178577510333193
spline-v2,1,5,1377,29.6128671169281,0.15,0.3557527136312544,0.3199353630018851
spline-v2,2,5,1377,29.80045223236084,0.15,0.3278560448051324,0.3253468363107112
spline-v2,3,5,1377,29.565691471099854,0.15,0.3158519694800212,0.3238993321007397
spline-v2,4,5,1377,29.11043667793274,0.15,0.4482640676293893,0.321893406761379
xgb-d3-o20-cv,0,5,1377,42.28029346466065,0.15,0.2139652172054842,0.0831947311256069
xgb-d3-o20-cv,1,5,1377,40.29034924507141,0.15,0.2280967360680801,0.092774529313753
xgb-d3-o20-cv,2,5,1377,42.569939136505134,0.15,0.2123678812193785,0.0844389302608868
xgb-d3-o20-cv,3,5,1377,39.061955690383904,0.15,0.1808394004356824,0.0925814839057916
xgb-d3-o20-cv,4,5,1377,41.12858080863953,0.15,0.2177645211313809,0.086470825409491
ebm-o50-i50-cv,0,5,1377,7048.63742351532,0.15,0.3725862746869877,0.3303347615879505
ebm-o50-cv,0,5,1377,790.5523438453674,0.15,0.3723846969987822,0.330960659947537
ebm-o50-i50-cv,1,5,1377,7533.544162511826,0.15,0.3736968763067552,0.3312017920431999
ebm-o50-cv,1,5,1377,728.6938481330873,0.15,0.3766702115004572,0.3321752470331493
ebm-o50-i50-cv,2,5,1377,6898.983735322951,0.15,0.3510494406080586,0.3349651084801894
ebm-o50-cv,2,5,1377,791.6293475627899,0.15,0.3543730482535666,0.3345946246438094
ebm-o50-i50-cv,3,5,1377,7652.8544714450845,0.15,0.3404740245193273,0.3367908146089624
ebm-o50-cv,3,5,1377,815.1277968883514,0.15,0.3417598691073418,0.3368671287002814
ebm-o50-i50-cv,4,5,1377,7027.296476364136,0.15,0.3757686629531359,0.3304716087614489
ebm-o50-cv,4,5,1377,789.957771062851,0.15,0.3786798622194161,0.3305039658883024
ebm-bf-o50-q,0,5,1377,4.298685312271118,0.15,0.3102797604819407,0.284622446482085
ilr-q,0,5,1377,23.06752061843872,0.15,0.3297438805334247,0.2594361280073815
ebm-bf-o50-q,1,5,1377,2.8377225399017334,0.15,0.3289203727614942,0.2801713097518755
ilr-q,1,5,1377,19.29247283935547,0.15,0.3425253531083638,0.2565071782265029
ebm-bf-o50-q,2,5,1377,3.010360717773437,0.15,0.300431471860119,0.2849628277192449
ilr-q,2,5,1377,9.940174102783203,0.15,0.32261638509336,0.2612784132584008
ebm-bf-o50-q,3,5,1377,5.167762756347656,0.15,0.2748673882469122,0.2899293516112222
ilr-q,3,5,1377,17.839785099029537,0.15,0.2979403669502126,0.2645983331927651
ebm-bf-o50-q,4,5,1377,4.594202756881714,0.15,0.3103888158240831,0.2829094024985093
ilr-q,4,5,1377,22.214948415756226,0.15,0.3214389807856933,0.2603329153821999
ebm-o50-i50-q,0,5,1377,51.92162036895752,0.15,0.3140157412850702,0.2735600240201737
mlr-q,0,5,1377,0.827991247177124,0.15,0.4597936968416352,0.4064573214207601
ebm-o50-i50-q,1,5,1377,47.656917095184326,0.15,0.3304852415166629,0.2721519467878696
mlr-q,1,5,1377,2.457447290420532,0.15,0.4739126563398459,0.4021707202389911
ebm-o50-i50-q,2,5,1377,53.41211104393005,0.15,0.304229878976236,0.2759419967386082
mlr-q,2,5,1377,2.6626839637756348,0.15,0.4311544274265869,0.4105496134952476
ebm-o50-i50-q,3,5,1377,58.66468596458435,0.15,0.2781423014692563,0.2794358360342497
mlr-q,3,5,1377,0.9664845466613772,0.15,0.4102896492815339,0.4144351191507232
ebm-o50-i50-q,4,5,1377,53.081451177597046,0.15,0.3112296945483681,0.2746383149393773
mlr-q,4,5,1377,2.730263948440552,0.15,0.4518528477048834,0.4070091109768445
spline-b,0,5,1377,81.8331527709961,0.15,0.3368691065768928,0.3178577510333193
spline-b,1,5,1377,76.7696886062622,0.15,0.3557527136312544,0.3199353630018851
spline-b,2,5,1377,77.20235538482666,0.15,0.3278560448051324,0.3253468363107112
spline-b,3,5,1377,73.24258875846863,0.15,0.3158519694800212,0.3238993321007397
spline-b,4,5,1377,71.86924028396606,0.15,0.4482640676293893,0.321893406761379
rspline-v2,0,5,1377,15.827658414840698,0.15,0.3061753103336821,0.2898223535506353
rspline-v2,1,5,1377,18.636929988861088,0.15,0.3227429318224124,0.2870243075820638
rspline-v2,2,5,1377,18.8977210521698,0.15,0.2953302171569679,0.2911915200148034
rspline-v2,3,5,1377,16.662628412246704,0.15,0.2738248558084663,0.2951769224816032
rspline-v2,4,5,1377,17.617263793945312,0.15,0.3046423123517,0.2900385436307985
xgb-d1-o20-cols1,0,5,1377,339.57302451133734,0.15,0.3138875921517949,0.2750872661854929
xgb-d1-o20-cols0.5,0,5,1377,290.45529389381414,0.15,0.314196536917237,0.2775504694159174
xgb-d1-o20-cols0.1,0,5,1377,329.9222226142884,0.15,0.3177385423011846,0.2761691658985033
xgb-d1-o20-cols0.00001,0,5,1377,265.09672045707697,0.15,0.3177385423011846,0.2761691658985033
