,d_name,model_name,split_idx,n_splits,random_state,fit_time,test_size,test_mse,train_mse
79,calhousing,xgb-d3-o20,0,10,1377,171.61980056762698,0.15,0.2120076731408563,0.0826874787872693
80,calhousing,xgb-d1-o20,0,10,1377,710.402899980545,0.15,0.3134312305391507,0.2756622824377966
81,calhousing,xgb-d3-o20,1,10,1377,190.31479477882385,0.15,0.2220232670147084,0.0803337822832048
82,calhousing,xgb-d1-o20,1,10,1377,185.63637161254883,0.15,0.3359451893042535,0.2750925614441926
83,calhousing,xgb-d3-o20,2,10,1377,196.6377048492432,0.15,0.2088900902770722,0.0842132834118553
84,calhousing,xgb-d1-o20,2,10,1377,188.38700819015503,0.15,0.3052069362778871,0.2802135876273318
85,calhousing,xgb-d3-o20,3,10,1377,318.4532597064972,0.15,0.1816447606162881,0.0838695644152081
87,calhousing,xgb-d1-o20,3,10,1377,349.96748185157776,0.15,0.2882114445858747,0.2822504225493669
93,calhousing,xgb-d3-o20,4,10,1377,207.71517968177795,0.15,0.21918356481796,0.0710005721716674
104,calhousing,xgb-d1-o20,4,10,1377,315.85164046287537,0.15,0.3158311428565137,0.2760295805968747
115,calhousing,xgb-d3-o20,5,10,1377,304.6474115848541,0.15,0.1993717149138593,0.0823558425297099
121,calhousing,xgb-d1-o20,5,10,1377,315.6492297649384,0.15,0.2917286689062769,0.2804696043482018
132,calhousing,xgb-d3-o20,6,10,1377,245.89091229438785,0.15,0.2121692631993545,0.0886192741744895
138,calhousing,xgb-d1-o20,6,10,1377,268.0510625839233,0.15,0.3121987622802779,0.2794120127727434
148,calhousing,xgb-d3-o20,7,10,1377,342.5272080898285,0.15,0.2194107687198554,0.0814606394591293
149,calhousing,xgb-d1-o20,7,10,1377,316.6879184246063,0.15,0.3136655616746117,0.2783155620520887
150,calhousing,xgb-d3-o20,8,10,1377,230.16735887527463,0.15,0.1897259567613389,0.0909027369677274
151,calhousing,xgb-d1-o20,8,10,1377,296.9881029129028,0.15,0.2931685947736639,0.2821601418917347
152,calhousing,xgb-d3-o20,9,10,1377,378.44818139076233,0.15,0.204336135782124,0.0789255480810928
153,calhousing,xgb-d1-o20,9,10,1377,368.539717912674,0.15,0.308545189476698,0.2805832128910049
222,calhousing,rf-n1000,0,10,1377,404.9293041229248,0.15,0.2558530296657037,0.0332051455149554
223,calhousing,mlr,0,10,1377,1.6371800899505615,0.15,0.4978513160212608,0.4594573671518513
224,calhousing,lr,0,10,1377,0.8037827014923096,0.15,0.5229202474181953,0.5248557468042662
225,calhousing,ilr,0,10,1377,15.21418070793152,0.15,0.3829751240303868,0.322501619353669
226,calhousing,spline,0,10,1377,40.48506474494935,0.15,0.4545591233082942,0.3624165359736109
227,calhousing,rf-n1000,1,10,1377,400.1923224925995,0.15,0.2640161491965436,0.0330772644522678
228,calhousing,mlr,1,10,1377,2.319361448287964,0.15,0.5081480343767251,0.457958461964031
229,calhousing,lr,1,10,1377,0.7158291339874268,0.15,0.5611119357071171,0.5179796664375279
230,calhousing,ilr,1,10,1377,9.461438179016112,0.15,0.3836403707965005,0.3237830308676872
231,calhousing,spline,1,10,1377,4.494237422943115,0.15,0.4066356703119345,0.3600678876775071
233,calhousing,rf-n1000,2,10,1377,430.14875078201294,0.15,0.2601640311567342,0.0338696911228942
234,calhousing,mlr,2,10,1377,1.780102252960205,0.15,0.4668053137118363,0.4651495896324549
235,calhousing,lr,2,10,1377,0.5100183486938477,0.15,0.5106123101159136,0.5268399322877193
236,calhousing,ilr,2,10,1377,11.862456798553469,0.15,0.3689379333318084,0.3272016166228128
237,calhousing,spline,2,10,1377,4.816580533981323,0.15,0.3602907729359489,0.3670443905459541
239,calhousing,rf-n1000,3,10,1377,407.3129627704621,0.15,0.2137106813032804,0.0343327128526735
240,calhousing,mlr,3,10,1377,1.0311563014984129,0.15,0.4604381111732194,0.4680244173844378
241,calhousing,lr,3,10,1377,0.4228262901306152,0.15,0.4966332728283498,0.5293281255438058
242,calhousing,ilr,3,10,1377,10.658975362777712,0.15,0.3573659085840754,0.3286400752352942
243,calhousing,spline,3,10,1377,5.384604454040527,0.15,0.3612192247931643,0.367492208626511
244,calhousing,rf-n1000,4,10,1377,236.55139541625977,0.15,0.2736744298404677,0.032689603429435
245,calhousing,mlr,4,10,1377,1.0878245830535889,0.15,0.4996072980681902,0.4596324184597126
246,calhousing,lr,4,10,1377,0.9494779109954834,0.15,0.5715593073522998,0.5477639164256239
247,calhousing,ilr,4,10,1377,9.057252883911133,0.15,0.3904124780368453,0.3222546574690426
248,calhousing,spline,4,10,1377,4.076410293579103,0.15,8.497361544062821,0.3648202199298861
249,calhousing,rf-n1000,5,10,1377,183.8832411766052,0.15,0.2368428954577117,0.0340421689889231
250,calhousing,mlr,5,10,1377,1.0840024948120115,0.15,0.4488530308643767,0.4682214157867363
251,calhousing,lr,5,10,1377,0.4123058319091797,0.15,0.5099500223683971,0.5289246061477261
252,calhousing,ilr,5,10,1377,6.614481925964356,0.15,0.3467039613288985,0.3295887188595348
253,calhousing,spline,5,10,1377,3.1074042320251465,0.15,0.5082545956372406,0.3708373649939236
254,calhousing,rf-n1000,6,10,1377,187.1451861858368,0.15,0.2578216115186392,0.033630544513701
255,calhousing,mlr,6,10,1377,1.0151927471160889,0.15,0.4760221356372722,0.4625484677182643
256,calhousing,lr,6,10,1377,0.6355302333831787,0.15,0.5727848394674893,0.5170947383181739
257,calhousing,ilr,6,10,1377,6.839129686355591,0.15,0.3717234550905097,0.3238516554399881
258,calhousing,spline,6,10,1377,4.811141729354858,0.15,0.4538097621687277,0.3615846527552847
259,calhousing,rf-n1000,7,10,1377,185.99484753608704,0.15,0.2556466913973883,0.0331282874296255
260,calhousing,mlr,7,10,1377,1.1756787300109863,0.15,0.4942873245167434,0.459403810291875
261,calhousing,lr,7,10,1377,1.3892374038696291,0.15,0.5276596787199842,0.5238685775833066
262,calhousing,ilr,7,10,1377,8.258641958236693,0.15,0.3878819398173393,0.3222693403831921
263,calhousing,spline,7,10,1377,2.985435485839844,0.15,0.382011586731024,0.3637594125613955
264,calhousing,rf-n1000,8,10,1377,376.5592727661133,0.15,0.2348172992388498,0.0336236409726033
265,calhousing,mlr,8,10,1377,2.0936429500579834,0.15,0.4567772770665006,0.4676034567200004
266,calhousing,lr,8,10,1377,0.5099189281463623,0.15,0.4927661712951013,0.5299893200747612
267,calhousing,ilr,8,10,1377,12.083617687225342,0.15,0.3546444574979818,0.3277284834494144
268,calhousing,spline,8,10,1377,4.428670406341553,0.15,0.4797555530748343,0.3682692600175997
269,calhousing,rf-n1000,9,10,1377,436.9222710132599,0.15,0.2415343498774437,0.033504941433541
270,calhousing,mlr,9,10,1377,1.7686982154846191,0.15,0.5048252373982133,0.4609175764415611
271,calhousing,lr,9,10,1377,0.6561944484710693,0.15,0.5532064961770283,0.5193792651440571
272,calhousing,ilr,9,10,1377,11.184548139572144,0.15,0.3839819852035034,0.3238063785623383
273,calhousing,spline,9,10,1377,4.79460883140564,0.15,0.3823743445076838,0.362300091702027
650,calhousing,xgb-d3,0,10,1377,0.8525078296661377,0.15,0.276640136969097,0.1969112993221144
651,calhousing,skgbt-d3,0,10,1377,1.2798221111297607,0.15,0.2847305573506439,0.1744225240192965
652,calhousing,skgbt-d3-o20,0,10,1377,112.77395462989809,0.15,0.2131427259169985,0.0697665115514329
653,calhousing,xgb-d3,1,10,1377,0.939711570739746,0.15,0.302066190083352,0.1813380313797538
654,calhousing,skgbt-d3,1,10,1377,1.835241317749024,0.15,0.3071575736443673,0.1602268200893938
655,calhousing,skgbt-d3-o20,1,10,1377,119.74653601646423,0.15,0.2215694641053092,0.0683253507404349
656,calhousing,xgb-d3,2,10,1377,0.7987391948699951,0.15,0.2647956458561381,0.1817405896071859
657,calhousing,skgbt-d3,2,10,1377,1.629340648651123,0.15,0.2705852259084398,0.1588259178203577
658,calhousing,skgbt-d3-o20,2,10,1377,92.6416401863098,0.15,0.2098775624190283,0.0792550067401158
659,calhousing,xgb-d3,3,10,1377,0.7425315380096436,0.15,0.253492913021668,0.205477498363637
660,calhousing,skgbt-d3,3,10,1377,2.2224693298339844,0.15,0.2563500135272171,0.1474001661452069
661,calhousing,skgbt-d3-o20,3,10,1377,107.00502800941469,0.15,0.1807511422419476,0.0735083933068986
662,calhousing,xgb-d3,4,10,1377,0.6632740497589111,0.15,0.2864129534648592,0.2208779770522358
663,calhousing,skgbt-d3,4,10,1377,1.9259719848632808,0.15,0.2732809115757959,0.1510964549184033
664,calhousing,skgbt-d3-o20,4,10,1377,125.9448745250702,0.15,0.2208423018354376,0.0644654261203391
665,calhousing,xgb-d3,5,10,1377,0.8800644874572754,0.15,0.2817741014697985,0.2040863482435719
666,calhousing,skgbt-d3,5,10,1377,1.836795330047608,0.15,0.2930331940694275,0.1579103901086498
667,calhousing,skgbt-d3-o20,5,10,1377,96.46750116348268,0.15,0.1981384724350121,0.0775267559960835
